,stationKor,stationEng
685,원시,Wonsi
686,양촌,Yangchon
687,구래,Gurae
688,마산,Masan
689,장기,Janggi
690,운양,Unyang
691,걸포북변,GeolpoBukbyeon
692,사우,Sau
693,풍무,Pungmu
694,고촌,Gochon
695,김포공항,GimpoIntlAirport
696,서초,Seocho
697,이매,Imae
698,소요산,Soyosan
699,남동구청,NamdongguOffice
700,왕십리,Wangsimni
701,판교,Pangyo
702,신포,Sinpo
703,신내,Sinnae
704,상왕십리,Sangwangsimni
705,삼가,Samga
706,한남,Hannam
707,지제,Jije
708,전대.에버랜드,JeondaeEverland
709,대림,Daerim
710,아시아드경기장,AsiadStadium
711,신설동,Sinseoldong
712,도림천,Dorimcheon
713,양천구청,YangcheonguOffice
714,용두,Yongdu
715,중랑,Jungnang
716,기흥,Giheung
717,검단오류,GeomdanOryu
718,용산,Yongsan
719,수원,Suwon
720,화정,Hwajeong
721,언주,Eonju
722,기흥,Giheung
723,서울역,SeoulStation
724,시청,CityHall
725,종각,Jonggak
726,화계,Hwagye
727,삼양,Samyang
728,회기,Hoegi
729,가좌,Gajwa
